CustomerID,Gender,Age,Annual Income,Spending Score,Profession,Work Experience,Family Size,CLUSTER,DISTANCE
1,Male,-1.053825762,-2.092977508,-0.428231441,Healthcare,-0.791009305,0.1174680581,2,2.1410295716
2,Male,-0.983476913,-1.655719034,1.0752770675,Engineer,-0.281091945,-0.389953359,2,1.563157916
3,Female,-1.018651338,-0.540709926,-1.609559555,Engineer,-0.791009305,-1.404796194,1,2.1154485204
4,Female,-0.913128064,-1.131008866,0.9320857809,Lawyer,-1.045967986,-0.897374776,2,1.9391261265
5,Female,-0.631732667,-1.590130263,-0.39243362,Entertainment,-0.536050625,1.1323108925,2,1.73439877
6,Female,-0.948302488,-1.152871789,0.8962879593,Artist,-1.045967986,-0.897374776,2,1.9441268371
7,Female,-0.491034968,-1.743170729,-1.609559555,Healthcare,-0.791009305,-0.389953359,3,2.3355020169
8,Female,-0.913128064,-0.584435773,1.5406487488,Healthcare,-0.791009305,-0.389953359,2,1.5854484536
9,Male,0.5290233466,-0.300217766,-1.71695302,Engineer,-1.045967986,-0.389953359,3,1.5365509213
10,Female,-0.666907091,-0.278354842,0.7530966727,Artist,-0.791009305,0.1174680581,2,1.040695327
11,Male,0.6345466205,-2.267880897,-1.323176982,Engineer,-0.791009305,-0.389953359,3,2.3658970674
12,Female,-0.491034968,-0.38766946,1.719637857,Healthcare,-0.026133265,0.1174680581,2,1.2087011819
13,Female,0.3179767987,-0.671887468,-1.287379161,Executive,-1.045967986,0.6248894753,3,1.0600540357
14,Female,-0.877953639,-0.431395308,0.9320857809,Lawyer,-0.791009305,-1.404796194,4,1.8895014196
15,Male,-0.420686119,-2.005525813,-1.358974804,Doctor,-1.045967986,-1.404796194,3,3.0058634972
16,Male,-0.948302488,-1.305912255,1.0036814242,Healthcare,-0.791009305,-0.897374776,2,1.8771158867
17,Female,-0.491034968,-1.786896576,-0.571422728,Homemaker,1.2486601363,0.6248894753,2,2.0598403925
18,Male,-1.018651338,-0.475121155,0.5383097429,Healthcare,-0.791009305,1.1323108925,2,1.1888312032
19,Male,0.1069302509,-1.983662889,-0.786209658,Entertainment,-0.791009305,0.1174680581,3,1.947117557
20,Female,-0.491034968,-1.065420094,1.6838400354,Artist,-1.045967986,-1.404796194,4,2.3295409971
21,Male,-0.491034968,-0.322080689,-0.571422728,Homemaker,2.0135361769,-1.404796194,1,1.9402596427
22,Male,-0.842779214,-2.333469668,0.7888944944,Healthcare,-0.281091945,0.1174680581,2,1.8868306687
23,Female,-0.104116297,-1.502678568,-1.645357377,Artist,2.2684948571,-0.897374776,1,2.873341024
24,Male,-0.631732667,-0.868653781,0.7888944944,Artist,0.2288254155,-0.897374776,2,1.4191867376
25,Female,0.1772791002,-0.956105476,-1.323176982,Executive,-0.791009305,-0.389953359,3,1.4801191909
26,Male,-0.702081516,-1.284049331,1.1110748891,Artist,-0.791009305,-0.389953359,2,1.5514391675
27,Female,-0.139290722,-0.934242552,-0.678816193,Healthcare,1.2486601363,2.1471537269,3,2.483559547
28,Male,-0.491034968,-0.715613316,0.3593206347,Artist,-0.791009305,-0.389953359,2,1.3205133645
29,Female,-0.315162845,-2.027388737,-0.714614014,Artist,-1.045967986,-1.404796194,3,2.9199186853
30,Female,-0.913128064,-1.983662889,1.2900639973,Artist,0.2288254155,0.1174680581,2,1.6475630603
31,Male,0.388325648,-1.568267339,-1.681155199,Artist,-1.045967986,-0.389953359,3,2.0353091325
32,Female,-0.983476913,-1.677581958,0.7888944944,Doctor,-0.791009305,-0.897374776,2,2.030612754
33,Male,0.1421046755,-1.131008866,-1.681155199,Healthcare,-0.791009305,-0.389953359,3,1.7467136864
34,Male,-1.089000187,-1.065420094,1.4690531055,Homemaker,1.2486601363,1.6397323097,2,1.939291111
35,Female,0.001406977,-0.431395308,-1.323176982,Lawyer,-0.791009305,-0.897374776,3,1.7640865998
36,Female,-0.983476913,-0.343943613,1.0752770675,Healthcare,-0.281091945,0.1174680581,2,0.7934654586
37,Female,-0.244813995,-2.114840431,-1.215783517,Doctor,0.2288254155,-1.404796194,1,2.8696232291
38,Female,-0.666907091,-1.065420094,0.7888944944,Healthcare,-0.791009305,0.6248894753,2,1.0970939839
39,Female,-0.455860543,-2.22415505,-0.893603123,Artist,0.9937014561,-0.897374776,2,2.7817095547
40,Female,-1.018651338,-0.912379629,0.8604901377,Artist,0.9937014561,-0.897374776,2,1.697071212
41,Female,0.5641977712,-1.874348271,-0.571422728,Artist,-0.026133265,-1.404796194,3,2.5827286526
42,Male,-0.877953639,-0.56257285,1.4690531055,Healthcare,-1.045967986,-0.897374776,2,2.0093831265
43,Male,-0.033767448,-1.939937042,-0.535624906,Artist,2.5234535373,-0.389953359,2,3.1836985502
44,Female,-0.631732667,-1.699444881,0.3593206347,Artist,-0.791009305,-0.897374776,2,2.0340259304
45,Female,0.001406977,-0.846790858,-0.822007479,Engineer,0.9937014561,-1.404796194,1,1.8530972702
46,Female,-0.877953639,-2.355332592,0.5025119213,Lawyer,-0.026133265,-0.897374776,2,2.2835584986
